var1,var2,pearson_r,spearman_r
pct_maison,pct_appart,-0.998,-0.992
pct_proprietaires,pct_locataires,-0.995,-0.993
DISP_PPSOC21,DISP_PPMINI21,0.978,0.947
DISP_PPLOGT21,DISP_PPMINI21,0.976,0.965
pct_etrangers,pct_immigres,0.975,0.97
nb_pieces_moyen,pct_logements_5p_plus,0.972,0.982
DISP_PPSOC21,DISP_PPLOGT21,0.97,0.921
surface_moyenne,nb_pieces_moyen,0.97,0.94
age_moyen,pct_65_plus,0.968,0.968
DISP_PTSA21,DISP_PACT21,0.96,0.952
pct_sup5,pct_bac_plus,0.946,0.933
surface_moyenne,pct_logements_5p_plus,0.946,0.92
DISP_TP6021,DISP_PPLOGT21,0.945,0.909
pct_petits_logements,pct_studios,0.941,0.878
DISP_TP6021,DISP_PPSOC21,0.937,0.885
DISP_TP6021,DISP_PPMINI21,0.933,0.901
pct_csp_plus,pct_sup5,0.93,0.863
pct_voiture_2plus,surface_moyenne,0.929,0.9
pct_csp_plus,pct_bac_plus,0.919,0.882
pct_maison,nb_pieces_moyen,0.912,0.823
pct_65_plus,pct_csp_retraite,0.911,0.905
pct_maison,pct_logements_5p_plus,0.909,0.805
pct_appart,nb_pieces_moyen,-0.906,-0.816
pct_appart,pct_logements_5p_plus,-0.906,-0.798
pct_grands_logements,surface_moyenne,0.901,0.947
pct_voiture_2plus,nb_pieces_moyen,0.9,0.848
pct_maison,surface_moyenne,0.898,0.8
age_moyen,pct_csp_retraite,0.897,0.888
pct_65_plus,DISP_PPEN21,0.895,0.891
pct_appart,surface_moyenne,-0.893,-0.793
DISP_GI21,DISP_RD21,0.893,0.867
pct_voiture_2plus,pct_logements_5p_plus,0.893,0.842
pct_cdi,pct_cdd,-0.889,-0.89
DISP_MED21,DISP_PIMPOT21,-0.885,-0.842
DISP_PPSOC21,DISP_PPFAM21,0.885,0.782
pct_maison,pct_voiture_2plus,0.884,0.777
pct_appart,pct_voiture_2plus,-0.881,-0.773
pct_actifs_voiture,pct_actifs_transports,-0.876,-0.72
pct_voiture_0,pct_voiture_2plus,-0.875,-0.927
pct_proprietaires,surface_moyenne,0.869,0.854
DISP_GI21,DISP_S80S2021,0.868,0.81
pct_csp_retraite,DISP_PPEN21,0.867,0.861
pct_grands_logements,pct_logements_5p_plus,0.864,0.853
pct_locataires,surface_moyenne,-0.862,-0.847
pct_proprietaires,pct_voiture_2plus,0.86,0.833
bpe_total_pour1000,bpe_A_services_pour1000,0.859,0.832
age_moyen,DISP_PPEN21,0.854,0.851
DISP_RD21,DISP_S80S2021,0.853,0.64
pct_locataires,pct_voiture_2plus,-0.852,-0.822
pct_sup5,pct_capbep,-0.852,-0.763
