,score_pca_pc1_logement_confort,score_pca_pc2_composition_diplômes,score_pca_pc3_équipements_démographie,score_pca_pc4_démographie_chauffage,score_pca_pc5_équipements_csp,score_pca_pc6_équipements_diplômes,score_pca_pc7_logement_csp,score_pca_pc8_équipements_logement,score_exploitation,score_domination,score_cap_cult,score_cap_eco,score_precarite,score_rentier,score_ruralite,score_urbanite,score_confort_residentiel,score_equipement_public
score_pca_pc1_logement_confort,1.0,-0.009371092253931854,0.10330930287969227,-0.5385798184003884,0.05914192732623591,0.2462054537948432,-0.26432519631862944,0.3169627910853423,0.3219023502824981,0.11114560357830397,-0.13584391933095874,0.34083580183852985,-0.4830188820757638,0.33006817145440775,0.8425007887594794,-0.9775246555280884,0.9671461578924462,-0.21440399197359492
score_pca_pc2_composition_diplômes,-0.009371092253931854,1.0,-0.3017466656501066,0.03646133145764464,0.21636913467399824,0.3409938749876054,-0.17789044778939725,-0.06672098053583896,-0.6239073468181733,-0.9408002756387936,-0.8993053164700526,-0.6408469983558958,0.7861006044456532,-0.05910420267793333,0.28992945132336917,0.008726582523891177,-0.09736116705624481,0.028604988720200796
score_pca_pc3_équipements_démographie,0.10330930287969227,-0.3017466656501066,1.0,-0.2527298921368075,0.1167437515112861,-0.1657393285990346,-0.1803941896417858,0.3659214052712805,-0.30259334205342603,0.2903146130557852,0.24556172684275399,-0.26027020429872816,-0.1612841519652108,-0.6762067678976812,-0.03465642779804686,-0.13022334259798518,0.13811913803065395,-0.5867453913624078
score_pca_pc4_démographie_chauffage,-0.5385798184003884,0.03646133145764464,-0.2527298921368075,1.0,0.21138209017138204,-0.03923700437288721,0.10120699501024492,-0.1493920190473883,0.07465290679483795,-0.028728057051840693,0.05531382163855,0.07036557335574654,0.25988835813181627,0.1650085676354226,-0.5303906538288662,0.5531326152943274,-0.4936845655864313,-0.13270332774542962
score_pca_pc5_équipements_csp,0.05914192732623591,0.21636913467399824,0.1167437515112861,0.21138209017138204,1.0,0.07882271262211729,-0.08344058866087979,0.19158188856047684,-0.13634713315054983,-0.2656362517109417,-0.3173442433755011,-0.15818931355357876,0.23644891907971388,0.14044954669947116,0.0065024512117585155,-0.125933734342968,0.08063340501817193,-0.5669090520145481
score_pca_pc6_équipements_diplômes,0.2462054537948432,0.3409938749876054,-0.1657393285990346,-0.03923700437288721,0.07882271262211729,1.0,-0.23999095827969144,-0.36444957616386203,-0.06200711893824005,-0.298491683460989,-0.3746341987917358,-0.024290767569342148,0.156086080511006,0.116703837402874,0.2510328718799653,-0.1880934926345103,0.16102984278857574,0.2257070118436487
score_pca_pc7_logement_csp,-0.26432519631862944,-0.17789044778939725,-0.1803941896417858,0.10120699501024492,-0.08344058866087979,-0.23999095827969144,1.0,-0.04382377859569994,0.09132349277777678,0.0606127338447688,0.14617751386013092,0.06902243228950633,0.061093963453783366,0.030142381019761837,-0.3042681430747311,0.29010194670026274,-0.19694919740340308,0.36247026675685506
score_pca_pc8_équipements_logement,0.3169627910853423,-0.06672098053583896,0.3659214052712805,-0.1493920190473883,0.19158188856047684,-0.36444957616386203,-0.04382377859569994,1.0,-0.013471068524034185,0.049976974034324016,0.022774579070132996,-0.03489054328492885,-0.147406654688758,-0.0680104538408796,0.2665499604619289,-0.38389974086936873,0.3411283072138506,-0.6898145058905785
score_exploitation,0.3219023502824981,-0.6239073468181733,-0.30259334205342603,0.07465290679483795,-0.13634713315054983,-0.06200711893824005,0.09132349277777678,-0.013471068524034185,1.0,0.6424491952810796,0.4838061465460466,0.991394880716253,-0.7867859843485225,0.7190777506192929,0.1085402441980389,-0.30823735662173035,0.35842027620010136,0.12122430640881748
score_domination,0.11114560357830397,-0.9408002756387936,0.2903146130557852,-0.028728057051840693,-0.2656362517109417,-0.298491683460989,0.0606127338447688,0.049976974034324016,0.6424491952810796,1.0,0.8998397110977348,0.663772935229085,-0.8004726262946898,0.13505216965060113,-0.1804000813518506,-0.10259322321236711,0.1885341355178131,-0.05786902608563224
score_cap_cult,-0.13584391933095874,-0.8993053164700526,0.24556172684275399,0.05531382163855,-0.3173442433755011,-0.3746341987917358,0.14617751386013092,0.022774579070132996,0.4838061465460466,0.8998397110977348,1.0,0.4943686446110658,-0.5957932516716196,-0.008127954327923594,-0.40636199771908177,0.1382857024561812,-0.055514086969771476,0.024318416614098278
score_cap_eco,0.34083580183852985,-0.6408469983558958,-0.26027020429872816,0.07036557335574654,-0.15818931355357876,-0.024290767569342148,0.06902243228950633,-0.03489054328492885,0.991394880716253,0.663772935229085,0.4943686446110658,1.0,-0.8067580533022501,0.6894762210675988,0.11398883742172741,-0.3212764471863564,0.37775617158565855,0.12026074418909151
score_precarite,-0.4830188820757638,0.7861006044456532,-0.1612841519652108,0.25988835813181627,0.23644891907971388,0.156086080511006,0.061093963453783366,-0.147406654688758,-0.7867859843485225,-0.8004726262946898,-0.5957932516716196,-0.8067580533022501,1.0,-0.35907332294257177,-0.21798892399229283,0.47419887384756293,-0.5278021529180527,0.06923412220201534
score_rentier,0.33006817145440775,-0.05910420267793333,-0.6762067678976812,0.1650085676354226,0.14044954669947116,0.116703837402874,0.030142381019761837,-0.0680104538408796,0.7190777506192929,0.13505216965060113,-0.008127954327923594,0.6894762210675988,-0.35907332294257177,1.0,0.2955873472344323,-0.33362418007439526,0.32493539136276606,0.1670194117499564
score_ruralite,0.8425007887594794,0.28992945132336917,-0.03465642779804686,-0.5303906538288662,0.0065024512117585155,0.2510328718799653,-0.3042681430747311,0.2665499604619289,0.1085402441980389,-0.1804000813518506,-0.40636199771908177,0.11398883742172741,-0.21798892399229283,0.2955873472344323,1.0,-0.8216707657476437,0.7576073865808549,-0.13373171915193197
score_urbanite,-0.9775246555280884,0.008726582523891177,-0.13022334259798518,0.5531326152943274,-0.125933734342968,-0.1880934926345103,0.29010194670026274,-0.38389974086936873,-0.30823735662173035,-0.10259322321236711,0.1382857024561812,-0.3212764471863564,0.47419887384756293,-0.33362418007439526,-0.8216707657476437,1.0,-0.9524233588250773,0.28606966413095686
score_confort_residentiel,0.9671461578924462,-0.09736116705624481,0.13811913803065395,-0.4936845655864313,0.08063340501817193,0.16102984278857574,-0.19694919740340308,0.3411283072138506,0.35842027620010136,0.1885341355178131,-0.055514086969771476,0.37775617158565855,-0.5278021529180527,0.32493539136276606,0.7576073865808549,-0.9524233588250773,1.0,-0.23752128387615853
score_equipement_public,-0.21440399197359492,0.028604988720200796,-0.5867453913624078,-0.13270332774542962,-0.5669090520145481,0.2257070118436487,0.36247026675685506,-0.6898145058905785,0.12122430640881748,-0.05786902608563224,0.024318416614098278,0.12026074418909151,0.06923412220201534,0.1670194117499564,-0.13373171915193197,0.28606966413095686,-0.23752128387615853,1.0
