,MACRON_PC1,MACRON_PC2,LE_PEN_PC1,LE_PEN_PC2,MELENCHON_PC1,MELENCHON_PC2,ZEMMOUR_PC1,ZEMMOUR_PC2,PECRESSE_PC1,PECRESSE_PC2
pct_etrangers,-0.1502536324162456,0.0640404867565444,-0.15732579696953067,0.019369984540361988,-0.16231490169619048,0.04823856416764972,-0.1515633799893779,0.05816027886956376,-0.14381304391071453,0.0774400749879006
pct_immigres,-0.15642713297939526,0.04843091099342983,-0.1591608949551666,0.03644669587073314,-0.16592115199017343,0.03701913917718194,-0.157836043509184,0.04385150559657086,-0.1523203208388595,0.060937233624368314
age_moyen,0.09140398949413953,0.00021667408437975322,0.06878703012047763,-0.0673561828409101,0.12879718905591048,0.0024574176674630466,0.08341939480825164,0.0007014246136582414,0.08379027984905169,0.0018642835579235073
pct_femmes,-0.06237763026375116,-0.002947923463264557,-0.06851991461412806,0.005438032801520443,-0.022485333723382364,-0.0187748881230837,-0.06746101723115346,-0.007813822761886913,-0.07378746730620626,0.006616925518216243
taille_menage_moy,-0.0023886370903825165,0.0038711570218231683,-0.00361660837332288,-0.0021637384433291773,-0.0021615020138267653,0.0011531358847581274,-0.002544595229746968,0.0035954203827578968,-0.0020888678205003633,0.004785402132880312
pct_hors_menage,-0.023395706390318495,0.029785588390224133,-0.032937609280481416,-0.01370618224454695,-0.01559123997164585,6.27446784054464e-06,-0.02435999805892703,0.027345252128666134,-0.020377608638386543,0.040822038057311494
ecart_csp_plus_hf,-0.05535278022573269,-0.1271612012561204,-0.0089299194112048,0.13430169420833604,-0.010278634348923812,-0.1312843151932592,-0.051995145695991646,-0.1291469004822893,-0.07537918177968549,-0.11879617462288551
pct_0_19,-0.0010684760088562589,0.05130968708414589,-0.03094059423713658,-0.004910496312199801,-0.06372916948112091,0.10969904522405209,-0.002360332585955801,0.04532208880989634,0.004020550026903633,0.021567260809664833
pct_20_64,-0.10822599434963844,-0.07538361829283319,-0.04279439933354531,0.13226795111845785,-0.08913005624277874,-0.1406404572539513,-0.09629147825347158,-0.06918445746421689,-0.10765707171983627,-0.05066335999696927
pct_65_plus,0.0803457884282536,0.02364467672122094,0.047797907050015395,-0.08340795409154858,0.1143232258370204,0.02977791355169136,0.07016915761796719,0.021603150946132136,0.07467031247513324,0.0232771394408667
pct_csp_agriculteur,0.08212257424043173,0.022524713865295285,0.07201799055396736,-0.06041483293014634,0.08034568900154263,0.03564244401394123,0.08108277733187097,0.024308523586031094,0.0838598146689715,0.017462349902800836
pct_csp_independant,0.05134491369216517,-0.07183518607634662,0.06722312139248689,0.04463135505309416,0.07906621786865822,-0.04319188865907218,0.051201138287737175,-0.07062977509302334,0.039398401532364256,-0.07211897265008951
pct_csp_plus,-0.10863810606271591,-0.20118632249998963,-0.019283929613471185,0.24085147900570456,-0.03845832343042335,-0.2281937961298696,-0.10172994625136095,-0.20636502478098603,-0.13324319164597392,-0.1807558002542455
pct_csp_intermediaire,0.008406894651553493,-0.12492040794920731,0.054411867228311844,0.16519291069142594,0.04306933170290592,-0.14141669722877365,0.01677628650270832,-0.11962939399687283,-0.006619904530839171,-0.113015890408354
pct_csp_employe,0.0011753316294931461,0.11293929019125523,-0.03931205669150221,-0.028068528370814146,-0.04681719319867746,0.08750154422030806,-0.0023657591159994386,0.11060017980617491,0.01850006980525281,0.11454404843116182
pct_csp_ouvrier,0.07896275766040113,0.16429519272965495,0.015842313965742004,-0.16744366557550727,0.009531872703997281,0.18947332385551544,0.07445496340605401,0.16686313467915181,0.10136591158895263,0.14498120940762518
pct_csp_retraite,0.11856359255237292,0.0346888069202237,0.0790485197342617,-0.09723904684784872,0.13866349504578274,0.04782764572160432,0.1103255273573528,0.035052004718764816,0.11526592026164245,0.028571186815156822
pct_csp_sans_emploi,-0.13265085559147485,0.10248979924030249,-0.15611742276820847,-0.04506377745981613,-0.15370612858330884,0.08092399498489132,-0.13402107131793678,0.09718756455890204,-0.12092418424187779,0.1075147705924719
DISP_MED21,-0.015451645980215303,-0.23737071085947964,0.09519679195899153,0.21598500735077183,0.08267805228906533,-0.20692371268551507,-0.010616290256284426,-0.23939334477189064,-0.05831802288028988,-0.23183098813023945
DISP_TP6021,-0.10377073452418317,0.2085478505052933,-0.16324509653141334,-0.14495630550195607,-0.14988901191543844,0.1506978303998162,-0.10677736401925045,0.20780972873225848,-0.06937693541664919,0.23119127190403727
DISP_GI21,-0.12239621217409684,-0.1211778741438715,-0.07930859860328085,0.13970041847781284,-0.07597155132105543,-0.16248708784675261,-0.11784894255682793,-0.1290488772789699,-0.13441624321213808,-0.09938551558514656
DISP_RD21,-0.1378914636955915,-0.11073861372776399,-0.10851795116010676,0.14514296896529347,-0.10272737762883123,-0.1588983382189556,-0.1334024381214247,-0.11908410486234673,-0.14682102884459372,-0.0880850723669468
DISP_S80S2021,-0.09555661872923367,-0.10917402027203187,-0.05139014172464816,0.11443445100187982,-0.060689939643497975,-0.1462089904140464,-0.08966943970133666,-0.11487807898851812,-0.10292688973653169,-0.09069177911890615
DISP_PTSA21,-0.07461137588753647,-0.14053617326642812,-0.0003914869881793405,0.1898621596658508,-0.04565896156352311,-0.16209939665927667,-0.06331352204424533,-0.13682931997421346,-0.09081877218454748,-0.12810253364828797
DISP_PPAT21,-0.00917342484155743,-0.13868104956628832,0.05027138733318631,0.0973294922644106,0.06525076972191328,-0.11948836135998886,-0.013031965147914614,-0.1439260700629426,-0.0389917348772326,-0.1365886784612356
DISP_PPEN21,0.09000962773146746,0.07783783194342288,0.036794977728322215,-0.12507394368242833,0.10904888029252956,0.07075859467514578,0.08121288486278949,0.08044584106396836,0.09316883067205847,0.07753509265284869
DISP_PPSOC21,-0.06591519060135179,0.23057806610768702,-0.14635176522568696,-0.16391326400631417,-0.12600387955270004,0.18068833371783094,-0.07042934731168558,0.22893268245261686,-0.026527421007195778,0.24452479938738544
DISP_PCHO21,-0.11062805708081284,0.14283558835145604,-0.14871847975720845,-0.07698717761385684,-0.15493471046733584,0.08296856887879321,-0.10592575755620702,0.1493899699129683,-0.07656491277476889,0.16802034413064848
DISP_PPFAM21,-0.02072265117616539,0.21380951571855808,-0.10815456042846172,-0.15619723671189262,-0.10302543983500388,0.18979124063366645,-0.023454101193898437,0.21250581597862098,0.01830254376280905,0.2094563978753297
DISP_PPLOGT21,-0.09899315897126679,0.2115294069049737,-0.16490131719180068,-0.13769061927653806,-0.14265924967734642,0.15404575691962788,-0.10331584756422496,0.20907334479291476,-0.06649236861072379,0.23314287212449286
DISP_PPMINI21,-0.0776270671083806,0.2231028993287739,-0.1533409766160096,-0.15731946384527115,-0.12731116085605876,0.17038710542759353,-0.08311423794815044,0.22045677116724374,-0.04247306748042735,0.24048447976597923
DISP_PIMPOT21,0.06964279410489303,0.22581812117205138,-0.03854582968607335,-0.23800403112331295,-0.02252331573457016,0.23577880995779954,0.0630752495293458,0.2303737520204452,0.10376155701405695,0.20834277929042164
DISP_PACT21,-0.0785741295104603,-0.15917094461506934,0.0059229293458724335,0.20557830911019734,-0.04425794618008947,-0.18055859619773554,-0.0674481512295145,-0.15806265089518662,-0.09710251385961387,-0.14564539057307796
pct_sup5,-0.12859908119156085,-0.18690307356289168,-0.05093850593145109,0.23444957485339096,-0.06249092181303247,-0.2246931920978101,-0.12339416355287476,-0.19383305555698227,-0.14916385916565175,-0.16389022059105945
pct_sans_diplome,0.012517019651767325,0.22294662696102624,-0.08222136654562556,-0.2064316724686559,-0.07127220797517815,0.20588849782754817,0.006179903818129328,0.22365621540342603,0.049123757611473286,0.21655010256557314
pct_capbep,0.15376751472438072,0.13839730133098638,0.10198016652194511,-0.18768730100070236,0.12097634809792754,0.16811136723470774,0.15116309775513598,0.14601550936956617,0.16708663113828173,0.11731020720456602
pct_bac_plus,-0.10589659234255508,-0.21113064757450964,-0.009471234451180293,0.25327454773025854,-0.02851897644859476,-0.2386664360657216,-0.09987306169675209,-0.2169033527616,-0.13293305807840597,-0.18935425104802212
pct_chomage,-0.09518194295364509,0.19028666344452108,-0.15089037326658505,-0.13444316594999453,-0.1314350056018825,0.1468792243132949,-0.09555219175973166,0.18820167849046854,-0.06922725956494852,0.20390082965332745
pct_cdi,0.08504211675990656,-0.14273404047059515,0.11948425208498006,0.11466208695494051,0.11303267648450663,-0.08001483833828352,0.08502778001114082,-0.14013802603508482,0.0571721124453131,-0.16156283248650904
pct_cdd,-0.07244613109015928,0.11180992677436295,-0.09650860005375134,-0.08687370958985954,-0.09597648599861551,0.05632427986815036,-0.0704341482282098,0.11102360932467385,-0.04687031188329798,0.12853344329177877
pct_interim,0.0008401260265176211,0.16503515214435935,-0.06128950070473995,-0.13824402244894723,-0.051853750697316826,0.15122845467169754,-0.003013356112220928,0.15860700404610345,0.026311881304747212,0.1571569964029146
pct_temps_partiel,0.005153715817942643,0.11630860909635968,-0.04135912843847273,-0.1116172665508148,-0.03774530905580374,0.10287748764033686,0.004128153263713683,0.11238741023394656,0.031056970519131154,0.11056915277970353
pct_inactif,-0.0623822554864768,0.13704436861399674,-0.11630058907548814,-0.11299081014790682,-0.09990365745170095,0.12057743063475179,-0.06775491138451561,0.13221409170623408,-0.04301652374710984,0.13688860091742847
pct_etudiants,-0.1151881700155618,-0.02924320189559916,-0.09692831977065937,0.08383826366888028,-0.1021256698308026,-0.053229362102002846,-0.11673119619054645,-0.03951628944152937,-0.11956810594080472,-0.020501522408884587
pct_actifs_voiture,0.18029531740350813,0.05982298826869171,0.14980811376176473,-0.10501005168281996,0.1592880821085078,0.10934387869423395,0.18058904599853898,0.06544032232188116,0.18421699261033408,0.034607533272570774
pct_actifs_transports,-0.16837934551691097,-0.06060340223299701,-0.1403460551798092,0.12278965822061134,-0.15616467219444782,-0.08056409197843752,-0.16656778046951842,-0.06822801928956876,-0.17265965605910258,-0.046832749832424685
pct_actifs_velo,-0.11455154779557165,-0.05581006219018371,-0.0897188659343219,0.08436319311172882,-0.07603333987323839,-0.11780378057151471,-0.11380030565331253,-0.056494335595012296,-0.11846936344163676,-0.03196723792417651
pct_actifs_2roues,-0.06657157734851361,-0.07461722645044268,-0.042107045943392915,0.07173556097289695,-0.034363138857973034,-0.08543560914838294,-0.06590749806446215,-0.0695379349855605,-0.078580074209515,-0.0671778425225005
pct_actifs_marche,-0.12420637025116275,0.01832227314922835,-0.1186261368463935,0.0005306173915764481,-0.0968864757327642,-0.05491380314149115,-0.12903413388925847,0.016983479667523702,-0.11965594178031033,0.05190644536525521
pct_proprietaires,0.18451203649456555,-0.08535070468436418,0.19823524391430375,0.011756229773895331,0.18917780587452532,-0.02531970804803152,0.18849521665188487,-0.08079598775316853,0.1756589181562184,-0.11323638623583185
pct_locataires,-0.1823122882801572,0.09010279901931259,-0.19778724947881585,-0.013633112899345061,-0.18867620616953895,0.02945870999123665,-0.18639078269604778,0.08599643801109777,-0.17273644632396098,0.11772256553083203
pct_hlm,-0.09892545404394218,0.14759788177923774,-0.1502283978684656,-0.07438135364434473,-0.13127284985518659,0.12190999337061226,-0.10050789841209146,0.137544255795649,-0.08319072478329302,0.1511131354697567
pct_logvac,-0.030598711343936942,0.05780176637867616,-0.032382876199010396,-0.08301171419387146,-0.0163346897377634,0.013943118805226813,-0.03281053358698326,0.060738483176954634,-0.019031863653087622,0.07447757121536451
pct_maison,0.19472320218517275,0.003955043552477046,0.18392591568734273,-0.0771917117372326,0.1835186936474433,0.05231706070216776,0.19710601245292667,0.00909903700465207,0.19528362558365292,-0.02154811411171488
pct_appart,-0.19367624434993339,-0.004397189493210493,-0.18302591664934817,0.07697386283100423,-0.1821563036907872,-0.051740518026948186,-0.19602699270790336,-0.00928040558679465,-0.19430352110746527,0.020861165002723538
pct_petits_logements,-0.17429701013588775,-0.042421667970490955,-0.15011276222501585,0.10076984260967754,-0.14012471751335265,-0.12001188206198209,-0.1765817701256049,-0.04288318582035719,-0.17855020957323292,-0.006511858361326856
pct_grands_logements,0.15737466470063058,-0.08852716499007093,0.17433238533217388,0.018014523358237083,0.17252373812166893,-0.0146837055473892,0.15948563656246578,-0.08737239984738131,0.14510004918764496,-0.11640180201496349
pct_logements_anciens,0.027038509018527394,-0.03772639448942777,0.07774633235169283,-0.052950527620757575,0.05685820200313365,-0.04915322451675761,0.028677206556418144,-0.0325758899890347,0.027380275401718994,-0.026822404210381488
pct_logements_recents,0.042086518937021374,-0.02372461306453961,0.04232089691077881,0.07415956049731069,0.02905645763876631,-0.023078011701934943,0.046484523362069825,-0.017976492213041137,0.044763536876487535,-0.02367882244197677
pct_voiture_0,-0.1878305415070075,0.007109651993229563,-0.19026787834529238,0.015823847014827135,-0.17737249595269797,-0.05381627354676275,-0.191455819233645,0.005644932119374075,-0.18620511751282162,0.034861867106529526
pct_voiture_2plus,0.19077817265048932,-0.038141407284646225,0.19408443196233427,-0.0017492750375066803,0.18487984024831228,0.034922455845252276,0.19525222268545958,-0.03545203783929687,0.18673234469233152,-0.06782967463925815
surface_moyenne,0.19376884415451753,-0.03461396307315898,0.19453996406577193,-0.0360342320400671,0.18727131612447384,0.04950804835643497,0.19627604685591535,-0.03416434348197765,0.18812438474348417,-0.06978132255423183
pct_suroccupation,-0.13698134794958927,-0.01855350349441364,-0.10616917284234735,0.057777099584817956,-0.1350385941704949,-0.05136085567556375,-0.13790332967686358,-0.026319180867480793,-0.1383870352316447,-0.0018781067297768631
pct_chauffage_elec,0.0024312648438939064,-0.06607866298829795,0.02834053855766313,0.07882688482135944,0.029670502425884357,-0.1013642893879111,0.0014819922142242912,-0.04929195441601137,-0.0051092062418702545,-0.043131467910117384
pct_chauffage_fioul,0.12466103151182158,-0.002543620258539248,0.12107331677824226,-0.05936820031996817,0.12907440330060346,0.029545639311472444,0.12316999828703416,-0.0035320452262336452,0.12475990363062447,-0.014831238554776386
pct_chauffage_gaz_ville,-0.1321489017183938,0.024528027327880536,-0.14332561415762668,0.024184476362816728,-0.13364320566898558,0.022905078965470827,-0.13345047410813266,0.015575567704926848,-0.13639523177584081,0.02236736155558884
pct_chauffage_gaz_bouteille,0.10853025667427954,-0.0017395796745297769,0.1016893711170677,-0.035074963998172455,0.10731924149850619,0.030415035845950063,0.11037337110069205,-0.0018082849766326936,0.1096968139435632,-0.012699976343750386
pct_chauffage_autre,0.15413116363179766,0.029047953253204174,0.1433369360079406,-0.08966022582892448,0.14130707084700397,0.0607904558597087,0.15660416198996,0.032509379831630617,0.15765410100525637,0.01603101268552166
pct_garage,0.1649726906231338,-0.06220635164085132,0.17280986229700243,0.044296929255780125,0.16561581571061873,-0.015839375335873738,0.1675873944299367,-0.05961940799729045,0.15798538403889617,-0.0841175174711805
nb_pieces_moyen,0.1928982985866869,-0.011197819509667544,0.1839210309825403,-0.0651191755737235,0.17986486099977878,0.07323152197016593,0.19448302688265878,-0.00920564971987656,0.1896029330088119,-0.04839008436708012
pct_studios,-0.16424556560538572,-0.04743796592215375,-0.13448033172926654,0.104758609099864,-0.12800080270603045,-0.11612505492385936,-0.16619138786542326,-0.05245619661142679,-0.17045323373345844,-0.01625617731774313
pct_logements_5p_plus,0.1854541373880931,-0.03344637903770669,0.18106369823010643,-0.04279039671102382,0.18017555034697133,0.04047064483866366,0.1859674465366455,-0.031388314714854364,0.18016546628925637,-0.06796418248630043
bpe_total_pour1000,-0.041351932964646364,-0.012628083549567393,-0.030947296508169155,0.02026621415821544,-0.005453268444123585,-0.057140720327833995,-0.04754815596081818,-0.00839847260092781,-0.04377164172245436,0.016706966023043626
bpe_A_services_pour1000,-0.01358468405856313,-0.018110965106613364,0.002768561756848418,0.025751450387602196,0.01419209709903168,-0.051165642310422005,-0.017420208786021504,-0.010455363254663839,-0.014144375658813978,0.006721908665775239
bpe_B_commerces_pour1000,-0.05337313722146099,-0.011747735489285137,-0.04628571220652395,0.017105467610218306,-0.021947076887629407,-0.05689846047877462,-0.059565306127013475,-0.007952463623243202,-0.05704867769294734,0.014970052718466381
bpe_C_enseignement_pour1000,-0.02010087243455279,0.029468702671013005,-0.017937289447934126,-0.031633431578370924,-0.01474422683198871,0.0025416722504272354,-0.021030689897201492,0.025468951941866373,-0.0139911292712786,0.038007025438707764
bpe_D_sante_pour1000,-0.06483191122265324,-0.015499379031885127,-0.06391966477982176,0.02694343940151694,-0.02262067296494956,-0.05355066711068242,-0.07311230488084389,-0.01621005057436356,-0.07329814008078102,0.0067277902097919815
bpe_E_transports_pour1000,-0.08788494059499899,-0.007174147023243611,-0.07494132461952055,0.08464514723643221,-0.09490358022381473,-0.012988252128157388,-0.08469469018732875,-0.013412055872349043,-0.08640469872662167,0.004797802151786722
bpe_F_sports_culture_pour1000,0.0906303879073397,0.039857901849668025,0.06798500961160457,-0.07598178905783204,0.08975144275782417,0.049139112688214616,0.08806141168003657,0.04176980908327702,0.09280743251906533,0.03641394227586507
bpe_G_tourisme_pour1000,-0.02139672751712317,-0.02468277812612823,-0.005917393335842432,0.010557339039326978,0.006859123199371199,-0.05127970207548833,-0.023318743787203125,-0.021125624293897537,-0.022925759196984703,-0.00471490160776406
bpe_educ_prioritaire_pour1000,-0.04820877474283901,0.11100148661125246,-0.08329024480129942,-0.08141796845321093,-0.08358563113301656,0.0993693738025471,-0.047065805766616994,0.10664465217042005,-0.031608760031653395,0.1074098589502285
bpe_ecole_privee_pour1000,-0.029508269351778048,-0.011656133776026475,-0.029038704496384522,0.018143876261268257,-0.010065567519808024,-0.032247266132400206,-0.0393255171993257,-0.01725729704879873,-0.03783350975212597,-0.004487413265218833
bpe_sport_indoor_pour1000,0.03940751008408603,0.034108906752319014,0.015630469833282614,-0.044309223005328975,0.040671801798583956,0.031225428686201463,0.03464083659993167,0.03337502324383588,0.03917486802005311,0.0342381059220429
pct_sport_accessible,0.003024316256479715,0.019266447666245454,-0.004931278202483769,-0.005876554609966175,-0.007189274408477674,0.013872482706845022,0.0011092583173203001,0.020122649958326227,0.004080393642623117,0.018102602850300048
