score,description,n_pos_vars,n_neg_vars,mean,std,range,max_r_with_existing,novel,r_MACRON,bary_MACRON,r_LE_PEN,bary_LE_PEN,r_MELENCHON,bary_MELENCHON,r_ZEMMOUR,bary_ZEMMOUR,r_PECRESSE,bary_PECRESSE,r_JADOT,bary_JADOT,r_ROUSSEL,bary_ROUSSEL,r_HIDALGO,bary_HIDALGO,r_DUPONT_AIGNAN,bary_DUPONT_AIGNAN,r_AUTRE,bary_AUTRE
score_pca_pc1_logement_confort,PC1,9,8,14.2,24.2,"[-49.1, 48.2]",0.978,False,-0.042,0.48,0.517,6.17,-0.626,-8.21,-0.043,-0.32,0.097,0.79,-0.22,-2.21,0.02,1.39,-0.017,0.33,0.282,5.08,0.322,6.39
score_pca_pc2_composition_diplômes,PC2,11,6,3.49,19.38,"[-49.0, 47.6]",0.941,False,-0.506,-3.63,0.423,4.6,0.096,2.36,-0.246,-3.06,-0.247,-5.28,-0.534,-6.96,0.152,2.83,-0.034,-1.0,0.026,0.23,0.178,2.48
score_pca_pc3_équipements_démographie,PC3,4,10,-0.83,17.11,"[-49.2, 45.2]",0.676,False,-0.001,-0.23,0.036,-1.31,0.139,2.93,-0.115,-1.65,-0.11,-1.44,0.097,1.17,-0.123,-1.03,-0.11,-0.88,0.003,-0.7,-0.244,-2.86
score_pca_pc4_démographie_chauffage,PC4,6,9,-5.75,13.09,"[-43.1, 44.1]",0.553,False,0.158,0.35,-0.29,-1.32,0.269,1.2,0.042,0.3,-0.036,0.11,0.081,0.16,0.056,0.57,0.051,0.39,-0.198,-1.58,-0.236,-2.04
score_pca_pc5_équipements_csp,PC5,6,8,3.05,11.14,"[-39.1, 43.3]",0.567,False,-0.09,-0.17,0.015,-0.69,0.062,1.44,-0.081,-0.65,0.06,-0.11,-0.13,-0.35,0.014,0.17,-0.03,-0.19,0.004,-0.99,0.06,-0.92
score_pca_pc6_équipements_diplômes,PC6,6,8,0.58,10.15,"[-37.5, 39.7]",0.375,True,-0.029,-0.17,0.287,1.88,-0.187,-1.4,-0.207,-1.38,-0.114,-0.88,-0.149,-0.99,0.096,1.25,0.051,0.84,0.019,0.51,0.057,1.46
score_pca_pc7_logement_csp,PC7,10,5,-1.94,8.87,"[-35.0, 34.1]",0.362,True,0.027,-0.01,-0.263,-0.72,0.201,0.54,0.211,1.23,-0.006,0.41,0.111,-0.04,-0.045,-0.68,-0.002,-0.6,-0.106,-0.48,-0.05,-0.54
score_pca_pc8_équipements_logement,PC8,3,8,2.95,11.89,"[-38.9, 42.1]",0.69,False,-0.139,-0.37,0.142,0.16,-0.089,0.37,0.011,0.07,0.004,-0.66,-0.067,0.05,-0.024,-0.13,-0.032,-0.26,0.083,0.14,0.122,0.15
score_lda_axe1,Axe LDA 1 — Discrimination électorale principale,8,8,2.07,4.17,"[-15.7, 20.1]",0.654,False,0.011,0.18,0.268,0.51,-0.452,-1.07,0.055,0.24,0.182,0.53,-0.155,-0.18,0.016,0.01,0.007,-0.02,0.183,0.55,0.279,0.77
score_lda_axe2,Axe LDA 2 — Discrimination électorale secondaire,8,8,-0.38,4.75,"[-17.4, 20.7]",0.393,True,0.146,0.3,-0.492,-1.08,0.209,0.39,0.144,0.52,0.182,0.72,0.195,0.69,-0.004,-0.37,0.136,0.28,-0.127,-0.56,0.122,-0.22
score_peripherie_metropole,Périphérie (Le Pen/Zemmour) vs Métropole (Macron/Jadot),6,10,12.75,20.36,"[-48.6, 44.0]",0.886,False,-0.285,-1.49,0.673,6.99,-0.522,-5.01,-0.134,-1.52,-0.007,-1.75,-0.481,-5.53,0.086,2.35,-0.047,-0.6,0.277,4.07,0.365,5.87
